df2_No,df2_地区名,df2_施設名,df2_住所,df2_地震,df2_津波,df2_高潮,df2_洪水,df2_土砂,df2_z,共通ID,市町村,更新日
168,五明,五明小学校,松山市菅沢町乙45-4,○,○,○,○,×,303.3,E3820100272112,松山市,2025/1/16
169,五明,五明幼稚園,松山市菅沢町乙45-4,○,○,○,○,×,303.1,E3820100272111,松山市,2025/1/16
170,五明,五明公民館菅沢分館,松山市菅沢町甲267-1,×,○,○,○,×,314.1,E3820100275111,松山市,2025/1/16
171,小野,小野公民館,松山市北梅本町759,○,○,○,○,○,78.23,E3820100590111,松山市,2025/1/16
172,小野,小野小学校,松山市平井町3673,○,○,○,△,○,80.15,E3820100533111,松山市,2025/1/16
173,小野,小野中学校,松山市平井町3690,○,○,○,△,○,77.7,E3820100534111,松山市,2025/1/16
174,小野,平井保育園,松山市平井町甲118,○,○,○,×,○,78.64,E3820100535111,松山市,2025/1/16
175,小野,小野公民館小野谷分館,松山市小野町甲79,○,○,○,×,×,144.9,E3820100236111,松山市,2025/1/16
176,小野,小野公民館太尺寺分館,松山市北梅本町6,×,○,○,○,○,107.6,E3820100589111,松山市,2025/1/16
177,小野,小野公民館駄場分館,松山市北梅本町2631,×,○,○,×,○,109.9,E3820100587111,松山市,2025/1/16
178,浮穴,浮穴公民館,松山市森松町469-6,○,○,○,△,○,30.69,E3820100259111,松山市,2025/1/16
179,浮穴,浮穴小学校,松山市森松町832,○,○,○,△,○,35.2,E3820100261111,松山市,2025/1/16
180,浮穴,南第二中学校,松山市森松町943,○,○,○,△,○,32.65,E3820100263111,松山市,2025/1/16
181,浮穴,浮穴保育園,松山市南高井町1608-2,○,○,○,×,○,36.42,E3820100468111,松山市,2025/1/16
182,浮穴,浮穴公民館井門分館,松山市井門町768,○,○,○,×,○,24.11,E3820100015111,松山市,2025/1/16
183,浮穴,浮穴公民館森松分館,松山市森松町645-1,×,○,○,×,○,33.07,E3820100260111,松山市,2025/1/16
184,浮穴,浮穴公民館南高井分館,松山市南高井町1318,○,○,○,×,○,43.32,E3820100466111,松山市,2025/1/16
185,浮穴,松山中央高等学校（体育館）,松山市井門町1220,○,○,○,×,○,21.34,E3820100014111,松山市,2025/1/16
186,石井,石井公民館,松山市居相1-8-26,○,○,○,△,○,22.59,E3820100096111,松山市,2025/1/16
187,石井,石井小学校,松山市東石井6-8-52,○,○,○,△,○,23.12,E3820100422111,松山市,2025/1/16
188,石井,石井北小学校,松山市和泉南1-3-32,○,○,○,×,○,18.89,E3820100652111,松山市,2025/1/16
189,石井,椿小学校,松山市和泉南6-1-47,○,○,○,△,○,15.69,E3820100655111,松山市,2025/1/16
190,石井,石井東小学校,松山市越智1-3-35,○,○,○,△,○,30.18,E3820100021111,松山市,2025/1/16
191,石井,南中学校,松山市東石井7-2-52,○,○,○,△,○,23.28,E3820100423111,松山市,2025/1/16
192,石井,石井幼稚園,松山市西石井6-4-29,○,○,○,△,○,22.18,E3820100293111,松山市,2025/1/16
193,石井,石井保育園,松山市西石井6-4-34,○,○,○,△,○,22.59,E3820100294111,松山市,2025/1/16
194,石井,つばき保育園,松山市古川北2-18-30,○,○,○,△,○,17.1,E3820100132111,松山市,2025/1/16
195,石井,石井公民館古川分館,松山市古川南1-20-13,○,○,○,×,○,15.9,E3820100127111,松山市,2025/1/16
196,石井,石井公民館一の宮団地分館,松山市古川南3-10-15,○,○,○,×,○,17.85,E3820100129111,松山市,2025/1/16
197,石井,石井公民館越智分館,松山市越智2-3-25,×,○,○,△,○,27.29,E3820100022111,松山市,2025/1/16
198,石井,石井公民館北土居分館,松山市北土居１-4-21,○,○,○,△,○,28.96,E3820100582111,松山市,2025/1/16
199,石井,古川ふれあいセンター,松山市古川南1-20-18,○,○,○,×,○,16.27,E3820100128111,松山市,2025/1/16
200,石井,朝生田ふれあいセンター,松山市朝生田町6-3-32,○,○,○,×,○,17.86,E3820100380111,松山市,2025/1/16
201,石井,聖カタリナ学園高等学校（体育館）,松山市朝生田町4-9-9,×,○,○,×,○,21.35,E3820100020111,松山市,2025/1/16
201,石井,聖カタリナ学園高等学校（体育館）,松山市朝生田町4-9-9,×,○,○,×,○,21.35,E3820100378111,松山市,2025/1/16
202,荏原,荏原公民館,松山市東方町955,○,○,○,△,○,47.13,E3820100427111,松山市,2025/1/16
203,荏原,荏原小学校,松山市東方町甲1245,○,○,○,△,○,56.37,E3820100428111,松山市,2025/1/16
204,荏原,荏原幼稚園,松山市東方町甲1493-3,○,○,○,○,○,56.48,E3820100430111,松山市,2025/1/16
205,荏原,荏原公民館津吉分館,松山市津吉町696,×,○,○,○,×,68,E3820100389111,松山市,2025/1/16
206,荏原,荏原公民館中野分館,松山市中野町甲323,×,○,○,×,○,56,E3820100372111,松山市,2025/1/16
207,荏原,荏原公民館大橋分館,松山市大橋町56,○,○,○,△,○,45.76,E3820100335111,松山市,2025/1/16
208,坂本,坂本公民館,松山市久谷町70,○,○,○,○,△,91.6,E3820100074111,松山市,2025/1/16
209,坂本,坂本小学校,松山市久谷町30,○,○,○,△,○,88.6,E3820100072111,松山市,2025/1/16
210,坂本,久谷中学校,松山市浄瑠璃町940,○,○,○,○,○,73.3,E3820100253111,松山市,2025/1/16
211,坂本,坂本幼稚園,松山市久谷町24,○,○,○,△,○,88.3,E3820100071111,松山市,2025/1/16
212,坂本,坂本公民館出口分館,松山市久谷町甲215,○,○,○,○,×,98.1,E3820100078111,松山市,2025/1/16
213,坂本,坂本公民館久谷中組分館,松山市久谷町812,○,○,○,○,○,114.8,E3820100075111,松山市,2025/1/16
214,坂本,坂本公民館奥久谷分館,松山市久谷町甲1780,○,○,○,○,×,188.5,E3820100077111,松山市,2025/1/16
215,坂本,坂本公民館桜分館,松山市窪野町2119,×,○,○,○,×,278.2,E3820100102111,松山市,2025/1/16
216,坂本,坂本公民館窪野北谷分館,松山市窪野町1099,×,○,○,○,×,262.5,E3820100101111,松山市,2025/1/16
217,浅海,浅海公民館,松山市浅海原甲603-1,○,○,×,○,○,3.2,E3820100314111,松山市,2025/1/16
218,浅海,浅海小学校,松山市浅海本谷甲728,○,○,○,○,○,10.1,E3820100318111,松山市,2025/1/16
219,浅海,浅海保育園,松山市浅海本谷甲719-1,○,×,×,○,○,2.8,E3820100317111,松山市,2025/1/16
220,浅海,浅海公民館萩原分館,松山市萩原甲287-3,×,○,○,○,×,122.5,E3820100492111,松山市,2025/1/16
221,浅海,浅海公民館真沖分館,松山市浅海本谷甲354-11,○,×,×,○,○,2.8,E3820100316111,松山市,2025/1/16
222,浅海,浅海公民館小竹分館,松山市浅海本谷甲232-2,○,×,×,○,○,3.1,E3820100315111,松山市,2025/1/16
223,浅海,京ヶ森集会所,松山市浅海原甲1-5,×,×,×,○,×,2,E3820100311111,松山市,2025/1/16
224,浅海,浅海公民館浅海原分館,松山市浅海原甲538-1,○,×,×,○,○,2.9,E3820100313111,松山市,2025/1/16
225,浅海,浅海公民館味栗分館,松山市浅海原甲1112-1,×,○,○,○,○,13.4,E3820100310111,松山市,2025/1/16
226,立岩,立岩公民館,松山市猿川甲747,○,○,○,×,×,103.3,E3820100028111,松山市,2025/1/16
227,立岩,立岩小学校,松山市猿川原甲49,○,○,○,○,○,98.1,E3820100025111,松山市,2025/1/16
228,立岩,立岩公民館才之原分館,松山市才之原甲737-1,○,○,○,×,○,54,E3820100173111,松山市,2025/1/16
229,立岩,猪木集会所,松山市猪木甲３４１－１,×,○,○,○,×,282.8,E3820100668111,松山市,2025/1/16
230,立岩,立岩公民館猿川下分館,松山市猿川甲371-2,○,○,○,○,×,153.7,E3820100026111,松山市,2025/1/16
